,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlb_ID
1,Jos̩ Abreu,32,658,Maj-AL,Chicago,159,693,634,85,180,38,1,33,123,36,4,152,13,0,10,24,2,2,0.284,0.33,0.503,0.834,547989
2,Ronald Acuna Jr.,21,663,Maj-NL,Atlanta,156,715,626,127,175,22,2,41,101,76,4,188,9,0,1,8,37,8,0.28,0.365,0.518,0.883,660670
3,Cristhian Adames,27,658,Maj-NL,San Francisco,10,24,22,1,7,1,0,0,2,2,0,8,0,0,0,0,0,0,0.318,0.375,0.364,0.739,542436
4,Willy Adames,23,658,Maj-AL,Tampa Bay,152,584,531,69,135,25,1,20,52,46,1,153,3,3,1,9,4,2,0.254,0.317,0.418,0.735,642715
5,Austin Adams,28,754,Maj-AL,Seattle,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,613534
6,Matt Adams,30,658,Maj-NL,Washington,111,333,310,42,70,14,0,20,56,20,1,115,2,0,1,7,0,0,0.226,0.276,0.465,0.741,571431
7,Jim Adduci,34,778,Maj-NL,Chicago,2,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,451192
8,Ehire Adrianza,29,675,Maj-AL,Minnesota,83,236,202,34,55,8,3,5,22,20,1,40,6,2,4,2,0,2,0.272,0.349,0.416,0.765,501303
9,Dario Agrazal,24,662,Maj-NL,Pittsburgh,13,24,22,0,2,0,0,0,2,0,0,9,0,1,1,0,0,0,0.091,0.087,0.091,0.178,642607
10,Jesus Aguilar,29,658,"Maj-NL,Maj-AL","Milwaukee,Tampa Bay",131,369,314,39,74,12,0,12,50,43,0,81,2,0,7,12,0,0,0.236,0.325,0.389,0.714,542583
11,Nick Ahmed,29,658,Maj-NL,Arizona,158,625,556,79,141,33,6,19,82,52,2,113,4,1,12,15,8,1,0.254,0.316,0.437,0.753,605113
12,R.J. Alaniz,28,659,Maj-NL,Cincinnati,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,595798
13,Hanser Alberto,26,658,Maj-AL,Baltimore,139,550,524,62,160,21,2,12,51,16,1,50,4,3,3,9,4,3,0.305,0.329,0.422,0.751,593643
14,Ozzie Albies,22,658,Maj-NL,Atlanta,160,702,640,102,189,43,8,24,86,54,6,112,4,0,4,2,15,4,0.295,0.352,0.5,0.852,645277
15,Sandy Alcantara,23,658,Maj-NL,Miami,31,63,58,2,5,1,0,0,4,1,0,46,1,3,0,0,0,0,0.086,0.117,0.103,0.22,645261
16,Jorge Alfaro,26,658,Maj-NL,Miami,130,465,431,44,113,14,1,18,57,22,1,154,10,0,2,12,4,3,0.262,0.312,0.425,0.736,595751
17,Anthony Alford,24,658,Maj-AL,Toronto,16,30,28,3,5,0,0,1,1,1,0,11,1,0,0,0,2,0,0.179,0.233,0.286,0.519,546990
18,Kolby Allard,21,709,Maj-AL,Texas,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,663465
19,Austin Allen,25,662,Maj-NL,San Diego,33,71,65,4,14,4,0,0,3,6,3,21,0,0,0,2,0,0,0.215,0.282,0.277,0.559,664119
20,Cody Allen,30,827,Maj-AL,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,592102
21,Greg Allen,26,658,Maj-AL,Cleveland,89,256,231,30,53,9,3,4,27,11,1,53,9,4,1,3,8,1,0.229,0.29,0.346,0.636,656185
22,Logan Allen,22,733,Maj-NL,San Diego,3,5,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0.4,0.25,0.65,663531
23,Abraham Almonte,30,662,Maj-NL,Arizona,17,38,31,11,9,3,1,1,4,7,0,8,0,0,0,1,0,0,0.29,0.421,0.548,0.969,501659
24,Yency Almonte,25,689,Maj-NL,Colorado,3,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,622075
25,Albert Almora,25,659,Maj-NL,Chicago,130,363,339,41,80,11,1,12,32,16,4,62,1,5,2,8,2,1,0.236,0.271,0.381,0.651,546991
27,Pete Alonso,24,658,Maj-NL,New York,161,693,597,103,155,30,2,53,120,72,6,183,21,0,3,13,1,0,0.26,0.358,0.583,0.941,624413
28,Yonder Alonso,32,658,"Maj-AL,Maj-NL","Chicago,Colorado",120,335,292,34,58,13,0,10,37,39,3,70,2,0,2,13,0,1,0.199,0.296,0.346,0.641,475174
29,Aaron Altherr,28,695,Maj-NL,"Philadelphia,New York,San Francisco",49,66,61,8,5,2,0,1,3,3,0,25,1,0,1,1,0,0,0.082,0.136,0.164,0.3,571437
30,Jose Altuve,29,658,Maj-AL,Houston,124,548,500,89,149,27,3,31,74,41,0,82,3,1,3,19,6,4,0.298,0.353,0.55,0.903,514888
